doi,short_name,uniprotkb,protein,genbank_id
10.1016.j.ymben.2014.05.010,ADH1,P00330,Alcohol dehydrogenase 1,WP_354691552.1
10.1016.j.ymben.2014.05.010,ADH4,P10127,Alcohol dehydrogenase 4,WP_354690989.1
10.1016.j.ymben.2014.06.004,aceK,P11071,Isocitrate dehydrogenase kinase/phosphatase,WP_353799184.1
10.1016.j.ymben.2014.06.004,aceA,P0A9G6,Isocitrate lyase,WP_354685213.1
10.1016.j.ymben.2014.06.004,ycdW,A0A024L457,Glyoxylate/hydroxypyruvate reductase A,WP_354685868.1
10.1016.j.ymben.2014.06.004,tesB,P0AGG2,Acyl-CoA thioesterase 2,XCO06392.1
10.1016.j.ymben.2014.06.004,pct,A0A0E1SS39,Acetate CoA-transferase YdiF,GKY90002.1
10.1016.j.ymben.2014.06.005,lysC,P26512,Aspartokinase,WP_354690522.1
10.1016.j.ymben.2014.06.005,ppc,P12880,Phosphoenolpyruvate carboxylase,WP_354692337.1
10.1016.j.ymben.2014.06.005,gapA,Q2XUQ1,Glyceraldehyde-3-phosphate dehydrogenase,WP_354690629.1
10.1016.j.ymben.2014.06.007,serC,A0A0A1MAZ1,Phosphoserine aminotransferase,WP_322457686.1
10.1016.j.ymben.2014.07.006,URA3,P03962,Orotidine 5'-phosphate decarboxylase,WP_354690662.1
10.1016.j.ymben.2014.07.008,NTE1,Q04958,Lysophospholipase NTE1,XP_066071302.1
10.1016.j.ymben.2014.07.008,TRP1,P00912,N-(5'-phosphoribosyl)anthranilate isomerase,BAL36049.1
10.1016.j.ymben.2014.07.008,YIA6,P40556,Mitochondrial nicotinamide adenine dinucleotide transporter 1,XP_066200662.1
10.1016.j.ymben.2014.07.008,PRB1,P09232,Cerevisin,KAL0488667.1
10.1016.j.ymben.2014.07.008,PYC2,P32327,Pyruvate carboxylase 2,XAG33561.1
10.1016.j.ymben.2014.07.010,folK,P26281,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,XAY04741.1
10.1016.j.ymben.2014.07.010,ispH,P62623,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,WP_354688461.1
10.1016.j.ymben.2014.07.010,sulA,P0AFZ5,Cell division inhibitor SulA,XCO03133.1
10.1016.j.ymben.2014.07.011,adhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1016.j.ymben.2014.07.011,pflB,P09373,Formate acetyltransferase 1,GMM63204.1
10.1016.j.ymben.2014.07.011,ldhA,P52643,D-lactate dehydrogenase,WP_354690256.1
10.1016.j.ymben.2014.07.012,dkgA,Q46857,"2,5-diketo-D-gluconic acid reductase A",XP_065644061.1
10.1016.j.ymben.2014.07.012,yqhD,Q46856,Alcohol dehydrogenase YqhD,WP_354691950.1
10.1016.j.ymben.2014.07.012,eutG,P76553,Probable alcohol dehydrogenase EutG,P41795.2
10.1016.j.ymben.2014.07.012,yahK,P75691,Aldehyde reductase YahK,XCO02570.1
10.1016.j.ymben.2014.07.012,ybbO,P0AFP4,Uncharacterized oxidoreductase YbbO,P0AFP4.1
10.1016.j.ymben.2014.07.012,yiaY,A0A037Y9Q0,L-threonine dehydrogenase,XCO05634.1
10.1016.j.ymben.2014.07.012,adhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1016.j.ymben.2014.07.012,gldA,P0A9S5,Glycerol dehydrogenase,WP_354692328.1
10.1016.j.ymben.2014.07.012,betA,P17444,Oxygen-dependent choline dehydrogenase,XAY03923.1
10.1016.j.ymben.2014.07.012,adhP,P39451,"Alcohol dehydrogenase, propanol-preferring",P39451.1
10.1016.j.ymben.2014.07.012,yghA,P0AG84,Uncharacterized oxidoreductase YghA,P0AG84.1
10.1016.j.ymben.2014.07.012,fucO,P0A9S1,Lactaldehyde reductase,WP_354692344.1
10.1016.j.ymben.2014.07.012,yjgB,A0A0H2VGF6,Hypothetical zinc-type alcohol dehydrogenase-like protein yjgB,ADY62343.1
10.1016.j.ymben.2014.07.012,ALR,P0A6B4,"Alanine racemase, biosynthetic",GAA20607.1
10.1016.j.ymben.2014.09.001,ilvA,A0AA35GWF1,L-threonine dehydratase,XCN43895.1
10.1016.j.ymben.2014.09.002,ilvN,P0ADF8,Acetolactate synthase isozyme 1 small subunit,WP_354137582.1
10.1016.j.ymben.2014.09.002,fadE,Q47146,Acyl-coenzyme A dehydrogenase,WP_354523023.1
10.1016.j.ymben.2014.09.002,tdh,P07913,L-threonine 3-dehydrogenase,WP_354682409.1
10.1016.j.ymben.2014.09.002,ilvB,P08142,Acetolactate synthase isozyme 1 large subunit,GMM64287.1
10.1016.j.ymben.2014.09.002,metA,P07623,Homoserine O-succinyltransferase,WP_354690020.1
10.1016.j.ymben.2014.09.002,fadR,P0A8V6,Fatty acid metabolism regulator protein,XCO03366.1
10.1016.j.ymben.2014.09.002,ilvA,P04968,L-threonine dehydratase biosynthetic IlvA,XCN43895.1
10.1016.j.ymben.2014.09.002,tesA,P0ADA1,Thioesterase 1/protease 1/lysophospholipase L1,CAL1691347.1
10.1016.j.ymben.2014.09.003,poxB,P07003,Pyruvate dehydrogenase [ubiquinone],WP_354691852.1
10.1016.j.ymben.2014.09.003,pta,P0A9M8,Phosphate acetyltransferase,WP_354690204.1
10.1016.j.ymben.2014.09.003,ackA,P0A6A3,Acetate kinase,WP_354688381.1
10.1016.j.ymben.2014.09.008,GPD1,Q9UVF4,Glycerol-3-phosphate dehydrogenase [NAD(+)] 1,WP_354688608.1
10.1016.j.ymben.2014.10.001,RPD3,P32561,Histone deacetylase RPD3,XP_066078082.1
10.1016.j.ymben.2014.10.001,ACC1,Q00955,Acetyl-CoA carboxylase,WP_354692903.1
10.1016.j.ymben.2014.10.003,AAT2,P23542,"Aspartate aminotransferase, cytoplasmic",XP_066210950.1
10.1016.j.ymben.2014.10.003,GAD1,Q04792,Glutamate decarboxylase,XCO05557.1
10.1016.j.ymben.2014.10.003,PYC2,P32327,Pyruvate carboxylase 2,XAG33561.1
10.1016.j.ymben.2014.10.003,PYC1,P11154,Pyruvate carboxylase 1,WP_142507587.1
10.1016.j.ymben.2014.10.004,poxB,P07003,Pyruvate dehydrogenase [ubiquinone],WP_354691852.1
10.1016.j.ymben.2014.10.004,ldh,A0A0V9RFW7,Lactate dehydrogenase,WP_354680285.1
10.1016.j.ymben.2014.10.004,pta,P0A9M8,Phosphate acetyltransferase,WP_354690204.1
10.1016.j.ymben.2014.10.004,ldhA,P52643,D-lactate dehydrogenase,WP_354690256.1
10.1016.j.ymben.2014.10.004,alsS,A0A3L0VW79,Acetolactate synthase AlsS,WP_354690715.1
10.1016.j.ymben.2014.10.004,yqhD,Q46856,Alcohol dehydrogenase YqhD,WP_354691950.1
10.1016.j.ymben.2014.10.004,ilvD,P05791,Dihydroxy-acid dehydratase,WP_354688765.1
10.1016.j.ymben.2014.10.006,phaB,P14697,Acetoacetyl-CoA reductase,WP_354683314.1
10.1016.j.ymben.2014.10.006,phaB3,Q0K9Q3,Acetoacetyl-CoA reductase,WP_354683314.1
10.1016.j.ymben.2014.10.006,phaB1,A0A481XSF4,3-ketoacyl-ACP reductase,WP_354692360.1
10.1016.j.ymben.2014.10.006,bktB,Q0KBP1,Beta-ketothiolase BktB,WP_354685837.1
10.1016.j.ymben.2014.10.008,ERG20,P08524,Farnesyl pyrophosphate synthase,XP_066168481.1
10.1016.j.ymben.2014.10.008,ERG9,P29704,Squalene synthase ERG9,DAA06882.1
10.1016.j.ymben.2014.10.008,HMG2,P12684,3-hydroxy-3-methylglutaryl-coenzyme A reductase 2,XCN43185.1
10.1016.j.ymben.2014.11.001,frdA,P00363,Fumarate reductase flavoprotein subunit,WP_354676329.1
10.1016.j.ymben.2014.11.001,pta,P0A9M8,Phosphate acetyltransferase,WP_354690204.1
10.1016.j.ymben.2014.11.001,adhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1016.j.ymben.2014.11.001,poxB,P07003,Pyruvate dehydrogenase [ubiquinone],WP_354691852.1
10.1016.j.ymben.2014.11.001,ldhA,P52643,D-lactate dehydrogenase,WP_354690256.1
10.1016.j.ymben.2014.11.001,glf,P37747,UDP-galactopyranose mutase,XCO09297.1
10.1016.j.ymben.2014.11.002,alsR,Q97DR3,"Transcriptional regulators, LysR family",WP_354692910.1
10.1016.j.ymben.2014.11.006,FAT1,P38225,Very long-chain fatty acid transport protein,XP_066244395.1
10.1016.j.ymben.2014.11.006,PXA1,P41909,Peroxisomal long-chain fatty acid import protein 2,DAA11288.1
10.1016.j.ymben.2014.11.006,FAA2,P39518,Long-chain-fatty-acid--CoA ligase 2,KAL0624691.1
10.1016.j.ymben.2014.11.006,FAA4,P47912,Long-chain-fatty-acid--CoA ligase 4,NP_956943.1
10.1016.j.ymben.2014.11.006,FAA1,P30624,Long-chain-fatty-acid--CoA ligase 1,XP_066172979.1
10.1016.j.ymben.2014.11.006,POX1,P13711,Acyl-coenzyme A oxidase,XP_025878719.2
10.1016.j.ymben.2014.11.006,TGL3,P40308,Triacylglycerol lipase 3,XCO08570.1
10.1016.j.ymben.2014.11.006,DGA1,Q08650,Diacylglycerol O-acyltransferase 1,XP_066167385.1
10.1016.j.ymben.2014.11.007,HIS3,P06633,Imidazoleglycerol-phosphate dehydratase,WP_322455492.1
10.1016.j.ymben.2014.11.007,LEU2,P04173,3-isopropylmalate dehydrogenase,WP_354685953.1
10.1016.j.ymben.2014.11.007,HMG1,P12683,3-hydroxy-3-methylglutaryl-coenzyme A reductase 1,WP_354681421.1
10.1016.j.ymben.2014.11.012,aceF,P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,XP_066167970.1
10.1016.j.ymben.2014.11.012,pflB,P09373,Formate acetyltransferase 1,GMM63204.1
10.1016.j.ymben.2014.11.012,fumA,P0AC33,"Fumarate hydratase class I, aerobic",TQR37089.1
10.1016.j.ymben.2014.11.012,mdh,P61889,Malate dehydrogenase,WP_354692005.1
10.1016.j.ymben.2014.12.001,ERG9,P29704,Squalene synthase ERG9,DAA06882.1
10.1016.j.ymben.2014.12.001,HMG2,P12684,3-hydroxy-3-methylglutaryl-coenzyme A reductase 2,XCN43185.1
10.1016.j.ymben.2014.12.004,SgcE,P39362,Protein SgcE,XP_066210273.1
10.1016.j.ymben.2014.12.005,sspB,P0AFZ3,Stringent starvation protein B,CAK9120891.1
10.1016.j.ymben.2014.12.005,tetR,P0ACT4,Tetracycline repressor protein class D,1ORK_A
10.1016.j.ymben.2014.12.005,pfkA,P0A796,ATP-dependent 6-phosphofructokinase isozyme 1,CAL4859928.1
10.1016.j.ymben.2015.01.005,lldD,A0A0D0KKN2,L-lactate dehydrogenase,WP_354691639.1
10.1016.j.ymben.2015.01.007,fadA,A0A059UR45,3-ketoacyl-CoA thiolase,XAY07762.1
10.1016.j.ymben.2015.01.007,pta,A0A1Q9RC39,Phosphate acetyltransferase,WP_354690204.1
10.1016.j.ymben.2015.01.007,poxB,A0A0U4VHX8,Pyruvate dehydrogenase [ubiquinone],WP_354691852.1
10.1016.j.ymben.2015.01.007,ldhA,A0A1B2F0R3,D-lactate dehydrogenase,WP_354690256.1
10.1016.j.ymben.2015.01.007,bktB,A0A177YVN9,Beta-ketothiolase,WP_354685837.1
10.1016.j.ymben.2015.02.002,KGD2,Q6FVK0,dihydrolipoyllysine-residue succinyltransferase,WP_354692556.1
10.1016.j.ymben.2015.02.002,SDH1,Q6FPU5,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",XP_066231366.1
10.1016.j.ymben.2015.02.003,pex10,Q9UVF7,RING-type E3 ubiquitin transferase,NP_001028307.2
10.1016.j.ymben.2015.02.004,TPO1,Q07824,Polyamine transporter 1,WP_354691477.1
10.1016.j.ymben.2015.03.001,pgi,P0A6T1,Glucose-6-phosphate isomerase,WP_354688646.1
10.1016.j.ymben.2015.03.001,dxs,P77488,1-deoxy-D-xylulose-5-phosphate synthase,WP_354684001.1
10.1016.j.ymben.2015.03.003,ERG20,P08524,Farnesyl pyrophosphate synthase,XP_066168481.1
10.1016.j.ymben.2015.03.003,ERG9,P29704,Squalene synthase ERG9,DAA06882.1
10.1016.j.ymben.2015.03.004,ilvA,A0A160PTS9,L-threonine dehydratase,XCN43895.1
10.1016.j.ymben.2015.03.004,aceE,Q8NNF6,Pyruvate dehydrogenase E1 component,WP_354687835.1
10.1016.j.ymben.2015.03.004,lrp,A0A161JLV7,Transcriptional regulator,WP_354692910.1
10.1016.j.ymben.2015.03.004,brnF,H7C682,BrnF,BFL69937.1
10.1016.j.ymben.2015.03.007,xylR,P16557,Xylose repressor,WP_228467672.1
10.1016.j.ymben.2015.03.007,dxs,A0A0D1L775,1-deoxy-D-xylulose-5-phosphate synthase,WP_354684001.1
10.1016.j.ymben.2015.03.007,pdxA,Q9RC88,Putative D-threonate 4-phosphate dehydrogenase,XP_065833881.1
10.1016.j.ymben.2015.03.008,CDC19,P00549,Pyruvate kinase 1,WP_354690261.1
10.1016.j.ymben.2015.03.008,ARO7,P32178,Chorismate mutase,XCO08872.1
10.1016.j.ymben.2015.03.008,ZWF1,P11412,Glucose-6-phosphate 1-dehydrogenase,XP_066165338.1
10.1016.j.ymben.2015.03.008,ARO4,P32449,"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited",XP_501538.2
10.1016.j.ymben.2015.03.008,TKL1,P23254,Transketolase 1,WP_354690101.1
10.1016.j.ymben.2015.03.009,xylA,P00944,Xylose isomerase,XCO05607.1
10.1016.j.ymben.2015.03.009,yagE,P75682,Putative 2-dehydro-3-deoxy-D-gluconate aldolase YagE,CAI9389035.1
10.1016.j.ymben.2015.03.009,yjhH,P39359,Probable 2-dehydro-3-deoxy-D-pentonate aldolase YjhH,P39359.2
10.1016.j.ymben.2015.03.014,fadD,P69451,Long-chain-fatty-acid--CoA ligase,WP_354687268.1
10.1016.j.ymben.2015.03.015,phaC,A0A3L0W3F5,Class I poly(R)-hydroxyalkanoic acid synthase,KAK6026356.1
10.1016.j.ymben.2015.03.017,mreB,P0A9X4,Cell shape-determining protein MreB,XAY06406.1
10.1016.j.ymben.2015.04.003,araD,C4B4W3,L-ribulose-5-phosphate 4-epimerase,WP_354692127.1
10.1016.j.ymben.2015.04.003,acpS,A0A160PSV1,Holo-[acyl-carrier-protein] synthase,WP_354686524.1
10.1016.j.ymben.2015.04.005,gltA,P0ABH7,Citrate synthase,WP_354690523.1
10.1016.j.ymben.2015.04.005,lacI,P03023,Lactose operon repressor,WP_010493381.1
10.1016.j.ymben.2015.04.005,TetR,B1VCF0,TetR,WP_354692881.1
10.1016.j.ymben.2015.04.005,thlA,A0A024LB55,Acetyl-CoA C-acetyltransferase,WP_354692441.1
10.1016.j.ymben.2015.04.005,adhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1016.j.ymben.2015.04.009,GAL80,P04387,Galactose/lactose metabolism regulatory protein GAL80,CAL1760262.1
10.1016.j.ymben.2015.04.009,HMG1,P12683,3-hydroxy-3-methylglutaryl-coenzyme A reductase 1,WP_354681421.1
10.1016.j.ymben.2015.05.001,ATR1,P13090,Aminotriazole resistance protein,WP_352929598.1
10.1016.j.ymben.2015.05.002,xylA,P00944,Xylose isomerase,XCO05607.1
10.1016.j.ymben.2015.05.002,araC,P0A9E0,Arabinose operon regulatory protein,XBV15675.1
10.1016.j.ymben.2015.05.002,xylAB,D1MDQ8,Xylulose kinase,XP_066207616.1
10.1016.j.ymben.2015.05.004,araC,A0A1B8P1P4,L-arabonate dehydratase,CAL4868706.1
10.1016.j.ymben.2015.05.005,acs,P27550,Acetyl-coenzyme A synthetase,XAY07663.1
10.1016.j.ymben.2015.05.005,fumA,P0AC33,"Fumarate hydratase class I, aerobic",TQR37089.1
10.1016.j.ymben.2015.05.005,fumC,P05042,Fumarate hydratase class II,WP_354691357.1
10.1016.j.ymben.2015.05.005,lacI,P03023,Lactose operon repressor,WP_010493381.1
10.1016.j.ymben.2015.05.005,iclR,P16528,Transcriptional repressor IclR,XCO06021.1
10.1016.j.ymben.2015.05.005,fumB,P14407,"Fumarate hydratase class I, anaerobic",WP_354651532.1
10.1016.j.ymben.2015.05.005,aspA,P0AC38,Aspartate ammonia-lyase,WP_354685082.1
10.1016.j.ymben.2015.05.005,panD,P0A790,Aspartate 1-decarboxylase,WP_354686926.1
10.1016.j.ymben.2015.06.001,btuB,P06129,Vitamin B12 transporter BtuB,XCN43514.1
10.1016.j.ymben.2015.06.001,mutL,P23367,DNA mismatch repair protein MutL,WP_354692114.1
10.1016.j.ymben.2015.06.001,mutS,P23909,DNA mismatch repair protein MutS,WP_354688521.1
10.1016.j.ymben.2015.06.001,fldA,P61949,Flavodoxin 1,WP_354690642.1
10.1016.j.ymben.2015.06.001,mutE,A0A0H3PPL3,Glutamate mutase epsilon subunit,GKX29940.1
10.1016.j.ymben.2015.06.001,fpr,P28861,Flavodoxin/ferredoxin--NADP reductase,XCN42410.1
10.1016.j.ymben.2015.06.001,btuR,P0A9H5,Corrinoid adenosyltransferase,WP_354690669.1
10.1016.j.ymben.2015.06.002,glgC,A0A068N0Z0,Glucose-1-phosphate adenylyltransferase,WP_354689002.1
10.1016.j.ymben.2015.06.003,icd,P50216,Isocitrate dehydrogenase [NADP],WP_354692863.1
10.1016.j.ymben.2015.06.003,malE,A0A169SAX6,Malic enzyme,WP_354691994.1
10.1016.j.ymben.2015.06.009,HEM3,P28789,Porphobilinogen deaminase,WP_354692468.1
10.1016.j.ymben.2015.06.010,ARO4,P32449,"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited",XP_501538.2
10.1016.j.ymben.2015.06.010,TKL1,P23254,Transketolase 1,WP_354690101.1
10.1016.j.ymben.2015.07.001,ilvC,A3DIE1,Ketol-acid reductoisomerase (NADP(+)),XAY05516.1
10.1016.j.ymben.2015.07.004,pex10,Q9UVF7,RING-type E3 ubiquitin transferase,NP_001028307.2
10.1016.j.ymben.2015.07.006,GPD2,P41911,"Glycerol-3-phosphate dehydrogenase [NAD(+)] 2, mitochondrial",XP_066201189.1
10.1016.j.ymben.2015.07.006,ADH5,P38113,Alcohol dehydrogenase 5,XCO05096.1
10.1016.j.ymben.2015.07.006,GPD1,Q00055,Glycerol-3-phosphate dehydrogenase [NAD(+)] 1,WP_354688608.1
10.1016.j.ymben.2015.07.006,ADH2,P00331,Alcohol dehydrogenase 2,WP_354692328.1
10.1016.j.ymben.2015.07.006,ADH1,P00330,Alcohol dehydrogenase 1,WP_354691552.1
10.1016.j.ymben.2015.07.006,ADH4,P10127,Alcohol dehydrogenase 4,WP_354690989.1
10.1016.j.ymben.2015.07.006,ADH3,P07246,"Alcohol dehydrogenase 3, mitochondrial",XP_066235040.1
10.1016.j.ymben.2015.07.006,adh1,F8KAA6,alcohol dehydrogenase,WP_354692497.1
10.1016.j.ymben.2015.07.006,BDH1,P39714,"(R,R)-butanediol dehydrogenase",DAA06929.2
10.1016.j.ymben.2015.07.007,FUM1,P08417,"Fumarate hydratase, mitochondrial",XP_066239539.1
10.1016.j.ymben.2015.07.007,THI2,P38141,Thiamine biosynthesis regulatory protein,WP_286643806.1
10.1016.j.ymben.2015.07.007,KGD2,P19262,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",XP_025879344.2
10.1016.j.ymben.2015.07.007,SDH1,Q00711,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",XP_066231366.1
10.1016.j.ymben.2015.07.007,SFC1,O14229,Transcription factor tau subunit sfc1,XP_503950.2
10.1016.j.ymben.2015.07.008,TAL1,W0TCV6,Transaldolase,WP_354687890.1
10.1016.j.ymben.2015.07.008,RKI1,W0TFW7,Ribose-5-phosphate isomerase,WP_354687889.1
10.1016.j.ymben.2015.07.008,RPE1,W0TD99,Ribulose-phosphate 3-epimerase,WP_354688919.1
10.1016.j.ymben.2015.07.008,TKL1,W0THR5,Transketolase,WP_354692635.1
10.1016.j.ymben.2015.08.003,ARO1,A0A6C1DQ03,Pentafunctional AROM polypeptide,XP_066088172.1
10.1016.j.ymben.2015.08.003,PDC5,P16467,Pyruvate decarboxylase isozyme 2,NP_001277043.1
10.1016.j.ymben.2015.08.003,ARO10,Q06408,Transaminated amino acid decarboxylase,Q06408.1
10.1016.j.ymben.2015.08.005,yqhD,Q46856,Alcohol dehydrogenase YqhD,WP_354691950.1
10.1016.j.ymben.2015.08.005,ydiF,Q8X5X6,Acetate CoA-transferase YdiF,GKY90002.1
10.1016.j.ymben.2015.08.005,yciA,P0A8Z0,Acyl-CoA thioester hydrolase YciA,WP_354688970.1
10.1016.j.ymben.2015.08.005,gpsA,P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],CAK9120877.1
10.1016.j.ymben.2015.09.006,ALD6,P54115,"Magnesium-activated aldehyde dehydrogenase, cytosolic",P54115.4
10.1016.j.ymben.2015.09.006,GPD1,Q00055,Glycerol-3-phosphate dehydrogenase [NAD(+)] 1,WP_354688608.1
10.1016.j.ymben.2015.09.006,ADH1,P00330,Alcohol dehydrogenase 1,WP_354691552.1
10.1016.j.ymben.2015.09.006,CYB2,P00175,L-lactate dehydrogenase (cytochrome),DAA09844.1
10.1016.j.ymben.2015.09.006,PDC1,P06169,Pyruvate decarboxylase isozyme 1,NP_001277043.1
10.1016.j.ymben.2015.09.011,pta,A0A1D9PPY2,Phosphate acetyltransferase,WP_354690204.1
10.1016.j.ymben.2015.09.011,luxS,A0A0D7XUY4,S-ribosylhomocysteine lyase,XCO04748.1
10.1016.j.ymben.2015.09.011,pgdS,A0A7W4LV96,Gamma-DL-glutamyl hydrolase,XCN10712.1
10.1016.j.ymben.2015.09.011,cwlO,I2CAK2,Peptidoglycan DL-endopeptidase CwlO,XCN10814.1
10.1016.j.ymben.2015.09.015,alsS,A0A3L0VW79,Acetolactate synthase AlsS,WP_354690715.1
10.1016.j.ymben.2015.09.015,budC,A0A3Q8G7Y4,diacetyl reductase [(S)-acetoin forming],DAA10125.1
10.1016.j.ymben.2015.09.017,aceE,Q8NNF6,Pyruvate dehydrogenase E1 component,WP_354687835.1
10.1016.j.ymben.2015.10.008,accB,A0A068N5V6,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,WP_354692738.1
10.1016.j.ymben.2015.10.008,pntA,A0A068N3D0,proton-translocating NAD(P)(+) transhydrogenase,W5PFI3.2
10.1016.j.ymben.2015.10.008,birA,A0A068MSI7,Biotin-protein ligase,WP_354690705.1
10.1016.j.ymben.2015.10.010,yqhD,Q46856,Alcohol dehydrogenase YqhD,WP_354691950.1
10.1016.j.ymben.2015.10.010,fadD,P69451,Long-chain-fatty-acid--CoA ligase,WP_354687268.1
10.1016.j.ymben.2015.10.010,ahr,P27250,Aldehyde reductase Ahr,XCO02085.1
10.1016.j.ymben.2015.10.013,serA,A0A160PT68,D-3-phosphoglycerate dehydrogenase,XP_066233388.1
10.1016.j.ymben.2015.11.003,fr9P,A0A075E6F7,FR9P,AIC32702.1
10.1016.j.ymben.2015.11.007,pheA,P0A9J8,Bifunctional chorismate mutase/prephenate dehydratase,XCO04699.1
10.1016.j.ymben.2015.11.007,tyrA,P07023,T-protein,WP_354689847.1
10.1016.j.ymben.2015.11.007,pabA,P00903,Aminodeoxychorismate synthase component 2,WP_354691503.1
10.1016.j.ymben.2015.11.007,menF,P38051,Isochorismate synthase MenF,WP_354690416.1
10.1016.j.ymben.2015.11.007,catA,A0A8H2S736,Chloramphenicol acetyltransferase,WP_354684169.1
10.1016.j.ymben.2015.11.007,pchB,A0A0H3JF58,PchABC family transcriptional regulator,GAA0048495.1
10.1016.j.ymben.2015.11.007,trpE,P00895,Anthranilate synthase component 1,WP_354687696.1
10.1016.j.ymben.2015.12.002,aphA,P0AE22,Class B acid phosphatase,WP_354688846.1
10.1016.j.ymben.2015.12.004,xylB,P09099,Xylulose kinase,XP_066207616.1
10.1016.j.ymben.2015.12.004,aldA,P25553,Lactaldehyde dehydrogenase,DAA10635.1
10.1016.j.ymben.2015.12.004,glcD,P0AEP9,Glycolate oxidase subunit GlcD,XCO05062.1
10.1016.j.ymben.2015.12.004,araB,A0A376RP67,Multifunctional fusion protein,XP_066075740.1
10.1016.j.ymben.2015.12.004,aceK,P11071,Isocitrate dehydrogenase kinase/phosphatase,WP_353799184.1
10.1016.j.ymben.2015.12.004,aceA,P0A9G6,Isocitrate lyase,WP_354685213.1
10.1016.j.ymben.2015.12.004,ycdW,A0A024L457,Glyoxylate/hydroxypyruvate reductase A,WP_354685868.1
10.1016.j.ymben.2015.12.004,fucK,P11553,L-fuculokinase,XCO04857.1
10.1016.j.ymben.2015.12.004,fucA,P0AB87,L-fuculose phosphate aldolase,XCO04854.1
10.1016.j.ymben.2015.12.005,ADH6,Q04894,NADP-dependent alcohol dehydrogenase 6,7XL5_C
10.1016.j.ymben.2015.12.005,BAT1,P38891,"Branched-chain-amino-acid aminotransferase, mitochondrial",XP_066230058.1
10.1016.j.ymben.2015.12.005,ALD2,P47771,Aldehyde dehydrogenase [NAD(P)+] 1,WP_354670805.1
10.1016.j.ymben.2015.12.005,ARO10,Q06408,Transaminated amino acid decarboxylase,Q06408.1
10.1016.j.ymben.2015.12.005,ALD5,P40047,"Aldehyde dehydrogenase 5, mitochondrial",WP_354689740.1
10.1016.j.ymben.2016.01.001,melR,P0ACH8,Melibiose operon regulatory protein,CAL1520349.1
10.1016.j.ymben.2016.01.001,mtlA,P00550,PTS system mannitol-specific EIICBA component,CAL4326622.1
10.1016.j.ymben.2016.01.001,prpR,P77743,Propionate catabolism operon regulatory protein,WP_354688139.1
10.1016.j.ymben.2016.01.001,MCR,A0A0R6L508,Probable phosphatidylethanolamine transferase Mcr-1,A0A0R6L508.1
10.1016.j.ymben.2016.01.002,ubiC,P26602,Chorismate pyruvate-lyase,WP_098548875.1
10.1016.j.ymben.2016.01.002,sfp,A0A2B7LIS6,4'-phosphopantetheinyl transferase,WP_354692362.1
10.1016.j.ymben.2016.01.002,ppsA,P23538,Phosphoenolpyruvate synthase,WP_354682286.1
10.1016.j.ymben.2016.01.003,fadD,F8IJA4,AMP-dependent synthetase and ligase,WP_116229384.1
10.1016.j.ymben.2016.01.003,fabH,C8WPY3,Beta-ketoacyl-[acyl-carrier-protein] synthase III,WP_354691244.1
10.1016.j.ymben.2016.01.004,glcD,P0AEP9,Glycolate oxidase subunit GlcD,XCO05062.1
10.1016.j.ymben.2016.01.004,aceA,P0A9G6,Isocitrate lyase,WP_354685213.1
10.1016.j.ymben.2016.01.004,ycdW,A0A024L457,Glyoxylate/hydroxypyruvate reductase A,WP_354685868.1
10.1016.j.ymben.2016.01.004,pct,A0A0E1SS39,Acetate CoA-transferase YdiF,GKY90002.1
10.1016.j.ymben.2016.02.002,pheA,P0A9J8,Bifunctional chorismate mutase/prephenate dehydratase,XCO04699.1
10.1016.j.ymben.2016.02.002,tyrA,P07023,T-protein,WP_354689847.1
10.1016.j.ymben.2016.02.004,fadD,P69451,Long-chain-fatty-acid--CoA ligase,WP_354687268.1
10.1016.j.ymben.2016.02.004,cti,Q47126,Colicin 10 immunity protein,WP_354665639.1
10.1016.j.ymben.2016.02.008,pta,A0A0A7T2W1,Phosphate acetyltransferase,WP_354690204.1
10.1016.j.ymben.2016.02.008,ldh,P04034,L-lactate dehydrogenase 1,WP_354691639.1
10.1016.j.ymben.2016.02.008,noxE,A2RIB7,NADH oxidase,WP_354670234.1
10.1016.j.ymben.2016.02.008,aldB,A0A0A7T023,Alpha-acetolactate decarboxylase,WP_354656165.1
